Participante,Modalidad,Edad,Género,Grupo,Validez,Creencia,ValidezxCreencia,Silogismo,Aceptación,Correctas,indice_creencia_norm
28,Resolución Individual,26.0,F,0,V,C,VC,1,1,1,0.25
28,Resolución Individual,26.0,F,0,V,I,VI,2,1,1,0.25
28,Resolución Individual,26.0,F,0,I,C,IC,3,0,1,0.25
28,Resolución Individual,26.0,F,0,I,I,II,4,0,1,0.25
28,Resolución Individual,26.0,F,0,V,C,VC,5,1,1,0.25
28,Resolución Individual,26.0,F,0,V,I,VI,6,1,1,0.25
28,Resolución Individual,26.0,F,0,I,C,IC,7,1,0,0.25
28,Resolución Individual,26.0,F,0,I,I,II,8,0,1,0.25
29,Resolución Individual,19.0,M,0,V,C,VC,1,1,1,0.0
29,Resolución Individual,19.0,M,0,V,I,VI,2,0,0,0.0
29,Resolución Individual,19.0,M,0,I,C,IC,3,0,1,0.0
29,Resolución Individual,19.0,M,0,I,I,II,4,1,0,0.0
29,Resolución Individual,19.0,M,0,V,C,VC,5,1,1,0.0
29,Resolución Individual,19.0,M,0,V,I,VI,6,1,1,0.0
29,Resolución Individual,19.0,M,0,I,C,IC,7,0,1,0.0
29,Resolución Individual,19.0,M,0,I,I,II,8,0,1,0.0
30,Resolución Individual,30.0,F,0,V,C,VC,1,1,1,0.5
30,Resolución Individual,30.0,F,0,V,I,VI,2,1,1,0.5
30,Resolución Individual,30.0,F,0,I,C,IC,3,1,0,0.5
30,Resolución Individual,30.0,F,0,I,I,II,4,0,1,0.5
30,Resolución Individual,30.0,F,0,V,C,VC,5,1,1,0.5
30,Resolución Individual,30.0,F,0,V,I,VI,6,0,0,0.5
30,Resolución Individual,30.0,F,0,I,C,IC,7,0,1,0.5
30,Resolución Individual,30.0,F,0,I,I,II,8,0,1,0.5
31,Resolución Individual,20.0,F,0,V,C,VC,1,1,1,0.75
31,Resolución Individual,20.0,F,0,V,I,VI,2,0,0,0.75
31,Resolución Individual,20.0,F,0,I,C,IC,3,0,1,0.75
31,Resolución Individual,20.0,F,0,I,I,II,4,0,1,0.75
31,Resolución Individual,20.0,F,0,V,C,VC,5,1,1,0.75
31,Resolución Individual,20.0,F,0,V,I,VI,6,0,0,0.75
31,Resolución Individual,20.0,F,0,I,C,IC,7,1,0,0.75
31,Resolución Individual,20.0,F,0,I,I,II,8,0,1,0.75
32,Resolución Individual,35.0,M,0,V,C,VC,1,1,1,0.0
32,Resolución Individual,35.0,M,0,V,I,VI,2,1,1,0.0
32,Resolución Individual,35.0,M,0,I,C,IC,3,0,1,0.0
32,Resolución Individual,35.0,M,0,I,I,II,4,0,1,0.0
32,Resolución Individual,35.0,M,0,V,C,VC,5,1,1,0.0
32,Resolución Individual,35.0,M,0,V,I,VI,6,1,1,0.0
32,Resolución Individual,35.0,M,0,I,C,IC,7,1,0,0.0
32,Resolución Individual,35.0,M,0,I,I,II,8,1,0,0.0
33,Resolución Individual,18.0,F,0,V,C,VC,1,1,1,1.0
33,Resolución Individual,18.0,F,0,V,I,VI,2,0,0,1.0
33,Resolución Individual,18.0,F,0,I,C,IC,3,1,0,1.0
33,Resolución Individual,18.0,F,0,I,I,II,4,0,1,1.0
33,Resolución Individual,18.0,F,0,V,C,VC,5,1,1,1.0
33,Resolución Individual,18.0,F,0,V,I,VI,6,0,0,1.0
33,Resolución Individual,18.0,F,0,I,C,IC,7,1,0,1.0
33,Resolución Individual,18.0,F,0,I,I,II,8,0,1,1.0
34,Resolución Individual,20.0,F,0,V,C,VC,1,0,0,0.75
34,Resolución Individual,20.0,F,0,V,I,VI,2,0,0,0.75
34,Resolución Individual,20.0,F,0,I,C,IC,3,1,0,0.75
34,Resolución Individual,20.0,F,0,I,I,II,4,0,1,0.75
34,Resolución Individual,20.0,F,0,V,C,VC,5,1,1,0.75
34,Resolución Individual,20.0,F,0,V,I,VI,6,0,0,0.75
34,Resolución Individual,20.0,F,0,I,C,IC,7,1,0,0.75
34,Resolución Individual,20.0,F,0,I,I,II,8,0,1,0.75
35,Resolución Individual,25.0,F,0,V,C,VC,1,1,1,0.75
35,Resolución Individual,25.0,F,0,V,I,VI,2,0,0,0.75
35,Resolución Individual,25.0,F,0,I,C,IC,3,1,0,0.75
35,Resolución Individual,25.0,F,0,I,I,II,4,0,1,0.75
35,Resolución Individual,25.0,F,0,V,C,VC,5,1,1,0.75
35,Resolución Individual,25.0,F,0,V,I,VI,6,0,0,0.75
35,Resolución Individual,25.0,F,0,I,C,IC,7,0,1,0.75
35,Resolución Individual,25.0,F,0,I,I,II,8,0,1,0.75
36,Resolución Individual,23.31779661016949,F,0,V,C,VC,1,1,1,0.5
36,Resolución Individual,23.31779661016949,F,0,V,I,VI,2,0,0,0.5
36,Resolución Individual,23.31779661016949,F,0,I,C,IC,3,0,1,0.5
36,Resolución Individual,23.31779661016949,F,0,I,I,II,4,0,1,0.5
36,Resolución Individual,23.31779661016949,F,0,V,C,VC,5,1,1,0.5
36,Resolución Individual,23.31779661016949,F,0,V,I,VI,6,0,0,0.5
36,Resolución Individual,23.31779661016949,F,0,I,C,IC,7,0,1,0.5
36,Resolución Individual,23.31779661016949,F,0,I,I,II,8,0,1,0.5
37,Resolución Individual,29.0,F,0,V,C,VC,1,1,1,0.25
37,Resolución Individual,29.0,F,0,V,I,VI,2,0,0,0.25
37,Resolución Individual,29.0,F,0,I,C,IC,3,0,1,0.25
